,Alamosa,Aspen,Avon,Basalt,Berthoud,Boulder,Breckenridge,Cortez,Craig,Crested Butte,Denver,Durango,Eagle,Fort Collins,Golden,Greeley,Keystone,Lyons,Montrose,Ouray,Pueblo,Salida,Snowmass,Telluride,Windsor
Alamosa,,163,188,262,285,268,156,194,355,150,237,149,208,304,227,300,176,283,187,220,123,82,171,269,296
Aspen,,,93,19,235,210,138,335,158,104,198,289,73,259,190,257,139,226,183,219,307,87,8,248,252
Avon,,,,75,143,118,46,345,168,138,106,299,21,167,98,165,47,134,193,229,215,111,91,258,160
Basalt,,,,,217,192,120,317,140,86,180,271,55,241,172,239,121,208,165,201,289,185,17,230,234
Berthoud,,,,,,27,116,485,232,278,45,439,161,20,50,28,109,18,333,369,163,194,231,398,23
Boulder,,,,,,,99,468,216,261,28,422,144,55,20,54,92,17,316,352,146,177,214,381,48
Breckenridge,,,,,,,,390,213,183,81,344,66,142,73,139,15,108,238,274,190,80,136,303,135
Cortez,,,,,,,,,358,244,450,46,324,511,442,508,391,477,152,116,317,244,333,76,504
Craig,,,,,,,,,,203,198,312,148,259,190,257,139,226,206,242,307,278,156,271,252
Crested Butte,,,,,,,,,,,243,198,118,304,235,302,184,271,92,128,188,93,102,157,297
Denver,,,,,,,,,,,,409,131,64,15,62,79,44,303,339,112,164,201,368,57
Durango,,,,,,,,,,,,,279,465,396,463,345,432,107,71,272,200,287,120,458
Eagle,,,,,,,,,,,,,,187,118,185,67,154,173,209,236,131,71,238,180
Fort Collins,,,,,,,,,,,,,,,75,32,135,38,358,394,181,219,256,424,17
Golden,,,,,,,,,,,,,,,,71,66,36,289,325,124,150,188,355,66
Greeley,,,,,,,,,,,,,,,,,134,44,357,393,180,218,255,423,15
Keystone,,,,,,,,,,,,,,,,,,102,239,275,183,100,137,304,128
Lyons,,,,,,,,,,,,,,,,,,,332,368,161,193,230,397,39
Montrose,,,,,,,,,,,,,,,,,,,,36,407,129,181,66,352
Ouray,,,,,,,,,,,,,,,,,,,,,443,165,217,50,388
Pueblo,,,,,,,,,,,,,,,,,,,,,,98,307,474,175
Salida,,,,,,,,,,,,,,,,,,,,,,,95,194,213
Snowmass,,,,,,,,,,,,,,,,,,,,,,,,246,250
Telluride,,,,,,,,,,,,,,,,,,,,,,,,,417
Windsor,,,,,,,,,,,,,,,,,,,,,,,,,
